"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"115",1882,289.2797,0.8403,0.27639,3.7e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.54712328767123,0,40.6
"116",1882,289.2797,0.8403,0.27639,3.7e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,2.02246575342466,0,38.9
"117",1882,289.2797,0.8403,0.27639,3.7e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,2.51424657534247,0,110
"118",1882,289.2797,0.8403,0.27639,3.7e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.70109589041096,0,30.7
"119",1883,289.47777,0.84223,0.2766,3.8e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",365,0.625205479452055,0,19.8
"120",1883,289.47777,0.84223,0.2766,3.8e-05,"047029",-33.39,142.57,"POONCARIE","Australia","New South Wales",365,0.601095890410959,0,25.9
"121",1883,289.47777,0.84223,0.2766,3.8e-05,"086131",-37.56,145.13,"YAN","Australia","Victoria",365,1.6241095890411,0,44.5
"122",1883,289.47777,0.84223,0.2766,3.8e-05,"084030",-37.69,148.46,"ORBOST","Australia","Victoria",328,2.11707317073171,0,41.4
"123",1883,289.47777,0.84223,0.2766,3.8e-05,"054003",-30.38,150.61,"BARRABA","Australia","New South Wales",365,1.74,0,39.6
"124",1883,289.47777,0.84223,0.2766,3.8e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",365,1.7586301369863,0,58.2
"125",1883,289.47777,0.84223,0.2766,3.8e-05,"078078",-36.37,141.24,"KANIVA","Australia","Victoria",334,1.80479041916168,0,49.5
"126",1883,289.47777,0.84223,0.2766,3.8e-05,"082001",-36.37,146.71,"BEECHWORTH","Australia","Victoria",365,1.94958904109589,0,47.5
"127",1883,289.47777,0.84223,0.2766,3.8e-05,"069018",-35.91,150.15,"MORUYA","Australia","New South Wales",365,1.71041095890411,0,72.9
"128",1883,289.47777,0.84223,0.2766,3.8e-05,"085096",-39.13,146.42,"WILSONS","Australia","Victoria",365,2.59972602739726,0,31.8
"129",1883,289.47777,0.84223,0.2766,3.8e-05,"058012",-29.43,153.36,"YAMBA","Australia","New South Wales",365,4.05205479452055,0,147.1
